date,count,cumulative_count
12-Jun,0,0
13-Jun,0,0
14-Jun,7,7
15-Jun,7,14
16-Jun,0,14
17-Jun,0,14
18-Jun,0,14
19-Jun,0,14
20-Jun,0,14
21-Jun,0,14
22-Jun,0,14
23-Jun,0,14
24-Jun,7,21
25-Jun,15,36
26-Jun,0,36
27-Jun,7,43
28-Jun,30,73
29-Jun,18,91
30-Jun,258,349
1-Jul,59,408
2-Jul,480,888
3-Jul,272,"1,160"
4-Jul,180,"1,340"
5-Jul,520,"1,860"
6-Jul,651,"2,511"
7-Jul,999,"3,510"
8-Jul,446,"3,956"
9-Jul,"1,012","4,968"
10-Jul,267,"5,235"
11-Jul,"1,180","6,415"
12-Jul,557,"6,972"
13-Jul,879,"7,851"
14-Jul,994,"8,845"
15-Jul,930,"9,775"
16-Jul,418,"10,193"
17-Jul,254,"10,447"
18-Jul,694,"11,141"
19-Jul,30,"11,171"
20-Jul,135,"11,306"
21-Jul,45,"11,351"
22-Jul,66,"11,417"
23-Jul,105,"11,522"
24-Jul,96,"11,618"
25-Jul,"1,196","12,814"
26-Jul,30,"12,844"
27-Jul,117,"12,961"
28-Jul,22,"12,983"
29-Jul,15,"12,998"
30-Jul,"1,611","14,609"
31-Jul,150,"14,759"
1-Aug,706,"15,465"
2-Aug,744,"16,209"
3-Aug,721,"16,930"
4-Aug,287,"17,217"
5-Aug,31,"17,248"
6-Aug,65,"17,313"
7-Aug,22,"17,335"
8-Aug,0,"17,335"
9-Aug,0,"17,335"
10-Aug,7,"17,342"
11-Aug,33,"17,375"
12-Aug,26,"17,401"
13-Aug,21,"17,422"
14-Aug,25,"17,447"
15-Aug,20,"17,467"
16-Aug,39,"17,506"
17-Aug,65,"17,571"
18-Aug,72,"17,643"
19-Aug,30,"17,673"
20-Aug,13,"17,686"
21-Aug,59,"17,745"
22-Aug,13,"17,758"
23-Aug,33,"17,791"
24-Aug,7,"17,798"
25-Aug,13,"17,811"
26-Aug,20,"17,831"
27-Aug,20,"17,851"
28-Aug,7,"17,858"
29-Aug,0,"17,858"
30-Aug,13,"17,871"
31-Aug,6,"17,877"
1-Sep,4,"17,881"
2-Sep,0,"17,881"
3-Sep,0,"17,881"
4-Sep,0,"17,881"
5-Sep,0,"17,881"
6-Sep,0,"17,881"
7-Sep,0,"17,881"
8-Sep,0,"17,881"
9-Sep,0,"17,881"
