"sitename","regionnumb","trendsite","rookery","Month","Day","Year","adultcount","counttype","source","Replicate","counter","comments"
"ANTHONY ISLAND",4,"0","0",6,22,2013,0,3,1,"n","KLS",
"ASHBY POINT",4,"0","0",6,20,2013,0,3,1,"n","KLS",
"BARRIER ROCKS ",4,"0","0",6,20,2013,7,3,1,"n","KLS",
"BERESFORD ISLAND",4,"0","0",6,20,2013,4,3,1,"n","KLS",
"BONILLA ISLAND",4,"0","0",6,22,2013,0,3,1,"n","KLS",
"BRIGHT I",4,,"0",6,20,2013,0,3,1,"n","KLS",
"CAPE SCOTT",4,"0","0",6,20,2013,0,4,1,"n","KLS, LF",
"CARMANAH POINT",4,"0","0",6,20,2013,0,3,1,"n","KLS",
"CONE HEAD",4,"0","0",6,22,2013,6,3,1,"n","KLS",
"FERRER PT",4,,"0",6,20,2013,1,3,1,"n","KLS",
"GARCIN ROCKS",4,,"1",6,22,2013,0,3,1,"n","KLS",
"GOSLING ROCKS",4,"0","0",6,21,2013,0,3,1,"n","KLS",
"LONG BEACH ROCKS",4,"0","0",6,20,2013,0,3,1,"n","KLS",
"LOOKOUT ROCK",4,,"0",6,20,2013,0,3,1,"n","KLS",
"MAGGOT ISLAND",4,"0","1",6,20,2013,0,3,1,"n","KLS",
"MARA ISLAND (ROCK)",4,"0","0",6,20,2013,0,3,1,"n","KLS",
"MILLAR GROUP",4,,"0",6,20,2013,0,3,1,"n","KLS",
"MORESBY ISLAND",4,"0","0",6,22,2013,0,3,1,"n","KLS",
"NORTH DANGER ROCKS",4,"0","1",6,22,2013,0,3,1,"n","KLS",
"OLEARY ISLAND",4,"0","0",6,20,2013,0,4,1,"n","KLS, LF",
"PACHENA PT",4,,"0",6,20,2013,0,3,1,"n","KLS",
"PEARL ROCKS",4,"0","0",6,21,2013,0,3,1,"n","KLS",
"PEREZ ROCKS",4,,"0",6,20,2013,0,3,1,"n","KLS",
"RACE ROCKS",4,"0","0",6,20,2013,0,4,1,"n","KLS, LF",
"RAPHAEL POINT",4,"0","0",6,20,2013,6,3,1,"n","KLS",
"REEF ISLAND",4,"0","0",6,22,2013,0,3,1,"n","KLS",
"S. TASU HEAD",4,"0","0",6,22,2013,0,3,1,"n","KLS",
"SARTINE ISLAND",4,"0","1",6,20,2013,9,3,1,"n","KLS",
"SKEDANS",4,,"0",6,22,2013,0,4,1,"n","KLS, LF",
"SOLANDER ISLAND",4,"0","0",6,20,2013,0,3,1,"n","KLS",
"SOMBRIO POINT",4,"0","0",6,20,2013,0,4,1,"n","KLS, LF",
"TRIANGLE ISLAND",4,"0","1",6,20,2013,9,3,1,"n","KLS",
"VIRGIN ROCKS",4,"0","1",6,21,2013,0,3,1,"n","KLS",
"WOUWER",4,,"0",6,20,2013,0,4,1,"n","KLS, LF",
"AKWE",5,,,4,29,2013,0,4,7,"N",,"Oehlers, S., S. Wartman, and L. Jemison. 2015. Unpublished report, USDA Forest Service, Tongass National Forest, Yakutat RD"
"AKWE",5,,,3,4,2013,0,4,7,"N",,"Oehlers, S., S. Wartman, and L. Jemison. 2015. Unpublished report, USDA Forest Service, Tongass National Forest, Yakutat RD"
"AKWE",5,,,3,21,2013,144,3,7,"N",,"Oehlers, S., S. Wartman, and L. Jemison. 2015. Unpublished report, USDA Forest Service, Tongass National Forest, Yakutat RD"
"AKWE",5,,,4,20,2013,0,4,7,"N",,"Oehlers, S., S. Wartman, and L. Jemison. 2015. Unpublished report, USDA Forest Service, Tongass National Forest, Yakutat RD"
"AKWE",5,,,5,15,2013,0,4,7,"N",,"Oehlers, S., S. Wartman, and L. Jemison. 2015. Unpublished report, USDA Forest Service, Tongass National Forest, Yakutat RD"
"AKWE",5,,,6,28,2015,0,4,1,"N","LF, JC, ML","Visual obs recorded in data book or log."
"AKWE",5,,,1,29,2011,0,4,7,"N",,"Oehlers, S., S. Wartman, and L. Jemison. 2015. Unpublished report, USDA Forest Service, Tongass National Forest, Yakutat RD"
"AKWE",5,,,3,18,2011,0,4,7,"N",,"Oehlers, S., S. Wartman, and L. Jemison. 2015. Unpublished report, USDA Forest Service, Tongass National Forest, Yakutat RD"
"AKWE",5,,,3,24,2011,0,4,7,"N",,"Oehlers, S., S. Wartman, and L. Jemison. 2015. Unpublished report, USDA Forest Service, Tongass National Forest, Yakutat RD"
"AKWE",5,,,4,6,2011,0,4,7,"N",,"Oehlers, S., S. Wartman, and L. Jemison. 2015. Unpublished report, USDA Forest Service, Tongass National Forest, Yakutat RD"
"AKWE",5,,,4,13,2011,0,4,7,"N",,"Oehlers, S., S. Wartman, and L. Jemison. 2015. Unpublished report, USDA Forest Service, Tongass National Forest, Yakutat RD"
"AKWE",5,,,5,9,2011,0,4,7,"N",,"Oehlers, S., S. Wartman, and L. Jemison. 2015. Unpublished report, USDA Forest Service, Tongass National Forest, Yakutat RD"
